MonthYear,wormhole_class,item_category,import_or_export,total
2023-03-01,Class 5,Gas,Imports,322861486630.9959
2023-03-01,Class 5,Materials,Exports,3514519617022.4434
2023-03-01,Class 5,Materials,Imports,2712651379717.1606
2023-03-01,Class 6,Blue loot,Exports,9877552546537.246
2023-03-01,Class 6,Blue loot,Imports,3638850172409.064
2023-03-01,Class 6,Gas,Exports,192278152788.0622
2023-03-01,Class 6,Gas,Imports,106686811442.0014
2023-03-01,Class 4,Blue loot,Imports,10094525538025.367
2023-03-01,Class 1,Gas,Exports,346181035212.8944
2023-03-01,Class 6,Materials,Imports,879596054653.864
2023-03-01,Class 1,Blue loot,Exports,3361091825213.052
2023-04-01,Class 6,Blue loot,Exports,7624433197140.367
2023-04-01,Class 5,Materials,Imports,2348676209185.24
2023-04-01,Class 5,Materials,Exports,3127720671833.288
2023-04-01,Class 5,Gas,Imports,262898907637.20065
2023-04-01,Class 5,Gas,Exports,819650981225.7996
2023-04-01,Class 5,Blue loot,Imports,4681538165335.451
2023-04-01,Class 5,Blue loot,Exports,18706224641125.035
2023-04-01,Class 4,Materials,Imports,2588966722168.3955
2023-04-01,Class 4,Materials,Exports,2699241311062.515
2023-04-01,Class 4,Gas,Imports,642820751521.0559
2023-04-01,Class 4,Gas,Exports,487289688840.872
2023-04-01,Class 4,Blue loot,Imports,8958288755722.305
2023-04-01,Class 4,Blue loot,Exports,10147683166654.96
2023-04-01,Class 3,Materials,Imports,4068636173850.984
2023-04-01,Class 6,Gas,Imports,92506160487.4015
2023-04-01,Class 3,Materials,Exports,4520097334273.37
2023-04-01,Class 3,Gas,Imports,446547584381.5632
2023-04-01,Class 1,Blue loot,Imports,3117951682163.7183
2023-04-01,Class 1,Gas,Exports,266770699492.2159
2023-04-01,Class 1,Gas,Imports,160336096670.67
2023-04-01,Class 1,Materials,Exports,2061179345432.6345
2023-04-01,Class 1,Materials,Imports,1819956749775.5151
2023-04-01,Class 2,Blue loot,Exports,7827019659314.856
2023-04-01,Class 6,Gas,Exports,220175816577.0141
2023-04-01,Class 2,Blue loot,Imports,7674023804097.792
2023-04-01,Class 2,Gas,Imports,762581606007.173
2023-04-01,Class 2,Materials,Exports,5062560606227.083
2023-04-01,Class 2,Materials,Imports,4891312432811.975
2023-04-01,Class 3,Blue loot,Exports,10500288466540.506
2023-04-01,Class 3,Blue loot,Imports,8807294256877.67
2023-04-01,Class 3,Gas,Exports,767001252895.9108
2023-04-01,Class 2,Gas,Exports,706828062721.3905
2023-04-01,Class 6,Blue loot,Imports,2621806300409.6577
2023-04-01,Class 6,Materials,Exports,1128178625476.2852
2023-04-01,Class 6,Materials,Imports,714367803290.0748
2023-04-01,Class 1,Blue loot,Exports,3155600836126.09
2023-05-01,Class 3,Gas,Exports,669449657692.7487
2023-05-01,Class 3,Blue loot,Imports,9042284463576.88
2023-05-01,Class 3,Blue loot,Exports,10475301126121.477
2023-05-01,Class 2,Materials,Imports,4663502648793.984
2023-05-01,Class 2,Materials,Exports,4876122241709.812
2023-05-01,Class 2,Gas,Imports,647894945864.7548
2023-05-01,Class 2,Gas,Exports,566679932546.5059
2023-05-01,Class 2,Blue loot,Imports,8206702251185.438
2023-05-01,Class 2,Blue loot,Exports,8388287437041.575
2023-05-01,Class 1,Materials,Imports,1541522702976.296
2023-05-01,Class 1,Materials,Exports,1644776575636.176
2023-05-01,Class 1,Gas,Imports,128689910341.4375
2023-05-01,Class 1,Gas,Exports,225127594544.42215
2023-05-01,Class 3,Gas,Imports,380586737882.9105
2023-05-01,Class 3,Materials,Exports,4158890265803.5137
2023-05-01,Class 6,Materials,Exports,1140541711969.54
2023-05-01,Class 4,Blue loot,Exports,9827880358555.004
2023-05-01,Class 6,Gas,Imports,95044686689.0324
2023-05-01,Class 6,Gas,Exports,174577560736.34802
2023-05-01,Class 6,Blue loot,Imports,2755337970989.652
2023-05-01,Class 6,Blue loot,Exports,7454097255758.058
2023-05-01,Class 5,Materials,Imports,2074198906933.832
2023-05-01,Class 5,Materials,Exports,3081263697797.067
2023-05-01,Class 5,Gas,Imports,239549196245.3847
2023-05-01,Class 5,Gas,Exports,732980182214.2128
2023-05-01,Class 5,Blue loot,Imports,4700423803122.998
2023-05-01,Class 5,Blue loot,Exports,19491440674458.594
2023-05-01,Class 4,Materials,Imports,2477012977784.556
2023-05-01,Class 4,Materials,Exports,2974035467644.674
2023-05-01,Class 4,Gas,Imports,498057602517.87573
2023-05-01,Class 4,Gas,Exports,425928971542.5005
2023-05-01,Class 4,Blue loot,Imports,8962656234855.361
2023-05-01,Class 6,Materials,Imports,784886116247.7435
2023-05-01,Class 3,Materials,Imports,3759693855362.85
2023-05-01,Class 1,Blue loot,Exports,2471675219935.7397
2023-05-01,Class 1,Blue loot,Imports,2443439648134.992
2023-06-01,Class 3,Gas,Exports,869241382557.2261
2023-06-01,Class 3,Blue loot,Imports,8520866771469.858
2023-06-01,Class 3,Blue loot,Exports,10107978634510.89
2023-06-01,Class 2,Materials,Imports,4918725568100.429
2023-06-01,Class 2,Materials,Exports,5235311372064.806
2023-06-01,Class 2,Gas,Imports,714762268703.2233
2023-06-01,Class 2,Blue loot,Imports,7757860394376.718
2023-06-01,Class 2,Blue loot,Exports,7873929625327.106
2023-06-01,Class 1,Materials,Imports,1833199866621.846
2023-06-01,Class 1,Materials,Exports,1891072408882.154
2023-06-01,Class 1,Gas,Imports,145777698418.4483
2023-06-01,Class 1,Gas,Exports,255405648025.81705
2023-06-01,Class 1,Blue loot,Imports,2491588644294.1196
2023-06-01,Class 1,Blue loot,Exports,2527796970547.5195
2023-06-01,Class 6,Materials,Imports,857359158701.7963
2023-06-01,Class 3,Gas,Imports,469194802502.7797
2023-06-01,Class 3,Materials,Exports,4712356789503.596
2023-06-01,Class 6,Materials,Exports,1131278582750.2527
2023-06-01,Class 4,Blue loot,Exports,9777705755314.477
2023-06-01,Class 3,Materials,Imports,4330464153550.632
2023-06-01,Class 6,Gas,Exports,171827316017.5428
2023-06-01,Class 6,Blue loot,Imports,2707739164058.178
2023-06-01,Class 6,Blue loot,Exports,6554547340057.676
2023-06-01,Class 5,Materials,Imports,2342956936998.861
2023-06-01,Class 5,Materials,Exports,3229921647476.775
2023-06-01,Class 5,Gas,Imports,246177101259.9563
2023-06-01,Class 5,Gas,Exports,722405306091.5294
2023-06-01,Class 6,Gas,Imports,83080579678.1174
2023-06-01,Class 2,Gas,Exports,681324485230.7688
2023-06-01,Class 5,Blue loot,Exports,18811756720952.785
2023-06-01,Class 4,Materials,Imports,2394024049439.729
2023-06-01,Class 4,Materials,Exports,2922976704602.0767
2023-06-01,Class 4,Gas,Imports,566784760430.9315
2023-06-01,Class 4,Gas,Exports,462226445004.8905
2023-06-01,Class 4,Blue loot,Imports,8507870921965.953
2023-06-01,Class 5,Blue loot,Imports,4131244743567.7095
2023-07-01,Class 3,Gas,Imports,549785034581.2676
2023-07-01,Class 3,Gas,Exports,1054957649794.0668
2023-07-01,Class 3,Blue loot,Imports,8839089900923.959
2023-07-01,Class 3,Blue loot,Exports,10571909238443.492
2023-07-01,Class 2,Materials,Imports,5600545206443.5625
2023-07-01,Class 2,Materials,Exports,5917505039852.352
2023-07-01,Class 2,Gas,Imports,927041987935.7572
2023-07-01,Class 3,Materials,Exports,5315325506506.149
2023-07-01,Class 2,Blue loot,Imports,7970819744422.729
2023-07-01,Class 2,Blue loot,Exports,8132796351632.054
2023-07-01,Class 1,Materials,Exports,2345676543135.535
2023-07-01,Class 1,Gas,Imports,195776345481.5057
2023-07-01,Class 1,Gas,Exports,353831150008.2214
2023-07-01,Class 1,Blue loot,Imports,2471733047908.174
2023-07-01,Class 1,Blue loot,Exports,2513615678423.7363
2023-07-01,Class 2,Gas,Exports,905196826797.4708
2023-07-01,Class 1,Materials,Imports,2219648238251.013
2023-07-01,Class 6,Materials,Exports,1171838855710.3025
2023-07-01,Class 4,Blue loot,Imports,8268799220889.777
2023-07-01,Class 6,Materials,Imports,884105098825.9911
2023-07-01,Class 6,Gas,Imports,151085474845.182
2023-07-01,Class 6,Gas,Exports,158703829425.0168
2023-07-01,Class 6,Blue loot,Imports,2694121427194.984
2023-07-01,Class 6,Blue loot,Exports,7365334504830.698
2023-07-01,Class 5,Materials,Imports,2569887842644.048
2023-07-01,Class 5,Materials,Exports,3307604503889.4175
2023-07-01,Class 5,Gas,Imports,310469922082.2878
2023-07-01,Class 5,Gas,Exports,815233588978.0215
2023-07-01,Class 5,Blue loot,Imports,4565511632315.16
2023-07-01,Class 5,Blue loot,Exports,18653408492646.13
2023-07-01,Class 4,Materials,Imports,2418536035472.696
2023-07-01,Class 4,Materials,Exports,2769019976467.188
2023-07-01,Class 4,Gas,Imports,604723756566.9502
2023-07-01,Class 4,Gas,Exports,622944685026.916
2023-07-01,Class 4,Blue loot,Exports,9200742305475.973
2023-07-01,Class 3,Materials,Imports,4827080298682.427
2023-08-01,Class 3,Materials,Imports,5099072129621.501
2023-08-01,Class 6,Materials,Exports,1352601976795.388
2023-08-01,Class 3,Blue loot,Imports,8759887247388.957
2023-08-01,Class 3,Blue loot,Exports,10385284430323.742
2023-08-01,Class 2,Materials,Imports,5793355046410.62
2023-08-01,Class 2,Materials,Exports,6061210065877.591
2023-08-01,Class 2,Gas,Imports,927471111949.4358
2023-08-01,Class 2,Blue loot,Imports,7940191748023.045
2023-08-01,Class 3,Gas,Exports,1081700146213.2144
2023-08-01,Class 2,Blue loot,Exports,8025301390276.466
2023-08-01,Class 1,Materials,Exports,2350192625001.029
2023-08-01,Class 1,Gas,Imports,182403794583.573
2023-08-01,Class 1,Gas,Exports,350370336650.5096
2023-08-01,Class 1,Blue loot,Imports,2172023888997.9265
2023-08-01,Class 1,Blue loot,Exports,2211125377148.0054
2023-08-01,Class 6,Materials,Imports,934355289097.3384
2023-08-01,Class 1,Materials,Imports,2243488829760.0195
2023-08-01,Class 3,Gas,Imports,557363866549.3276
2023-08-01,Class 2,Gas,Exports,922987588494.7572
2023-08-01,Class 4,Blue loot,Exports,9879092140156.986
2023-08-01,Class 3,Materials,Exports,5492080523904.54
2023-08-01,Class 6,Gas,Exports,168073010391.4184
2023-08-01,Class 6,Blue loot,Imports,2988468204073.593
2023-08-01,Class 6,Blue loot,Exports,8614730069961.033
2023-08-01,Class 5,Materials,Imports,2760822307683.101
2023-08-01,Class 5,Materials,Exports,3335204077285.9883
2023-08-01,Class 5,Gas,Imports,306077477686.2638
2023-08-01,Class 5,Gas,Exports,775200973950.9017
2023-08-01,Class 6,Gas,Imports,121955547238.3118
2023-08-01,Class 5,Blue loot,Exports,17788040706802.48
2023-08-01,Class 4,Materials,Imports,2768920380873.342
2023-08-01,Class 4,Materials,Exports,3175016533992.2573
2023-08-01,Class 4,Gas,Imports,634184890200.4274
2023-08-01,Class 4,Gas,Exports,639575003874.9653
2023-08-01,Class 4,Blue loot,Imports,8819643688131.904
2023-08-01,Class 5,Blue loot,Imports,5127579953983.157
2023-09-01,Class 4,Blue loot,Imports,7864041694274.903
2023-09-01,Class 4,Gas,Exports,695471919439.9535
2023-09-01,Class 4,Gas,Imports,595054977955.624
2023-09-01,Class 4,Materials,Exports,2849971025172.4053
2023-09-01,Class 4,Materials,Imports,2450180510275.861
2023-09-01,Class 5,Blue loot,Exports,17746013011265.285
2023-09-01,Class 5,Blue loot,Imports,5026703621512.615
2023-09-01,Class 5,Materials,Imports,2604108012032.598
2023-09-01,Class 5,Gas,Imports,339892016867.6762
2023-09-01,Class 5,Materials,Exports,3186955203573.9565
2023-09-01,Class 6,Blue loot,Exports,7568145814770.172
2023-09-01,Class 6,Blue loot,Imports,2321973897224.661
2023-09-01,Class 6,Gas,Exports,193668081910.2009
2023-09-01,Class 6,Gas,Imports,154655257511.3423
2023-09-01,Class 5,Gas,Exports,791132642088.9293
2023-09-01,Class 4,Blue loot,Exports,9179600067822.79
2023-09-01,Class 1,Blue loot,Exports,2395868275892.0483
2023-09-01,Class 3,Materials,Exports,5327595272477.537
2023-09-01,Class 1,Blue loot,Imports,2358357986564.4795
2023-09-01,Class 1,Gas,Exports,418517184503.06976
2023-09-01,Class 1,Gas,Imports,197663919670.49188
2023-09-01,Class 1,Materials,Exports,1961865694734.8577
2023-09-01,Class 1,Materials,Imports,1885782981778.9092
2023-09-01,Class 2,Blue loot,Exports,8168595896456.83
2023-09-01,Class 2,Blue loot,Imports,8008328997595.801
2023-09-01,Class 2,Gas,Exports,1011306727183.3766
2023-09-01,Class 2,Gas,Imports,953118009388.1208
2023-09-01,Class 2,Materials,Exports,5701565003845.939
2023-09-01,Class 2,Materials,Imports,5367137796534.821
2023-09-01,Class 3,Blue loot,Exports,9804004803830.38
2023-09-01,Class 3,Blue loot,Imports,8248466890335.097
2023-09-01,Class 3,Gas,Exports,1158899079555.6482
2023-09-01,Class 3,Gas,Imports,592648652173.7834
2023-09-01,Class 3,Materials,Imports,4996343324749.225
2023-09-01,Class 6,Materials,Imports,949793067376.6064
2023-09-01,Class 6,Materials,Exports,1363011769377.6145
2023-10-01,Class 6,Materials,Exports,1520446045553.1428
2023-10-01,Class 3,Gas,Exports,1122599946573.0889
2023-10-01,Class 3,Blue loot,Imports,8553324382421.98
2023-10-01,Class 3,Blue loot,Exports,10045036460212.064
2023-10-01,Class 2,Materials,Imports,5537559706117.137
2023-10-01,Class 2,Materials,Exports,5937390217150.825
2023-10-01,Class 2,Gas,Imports,998236033065.6196
2023-10-01,Class 2,Gas,Exports,927622911566.2036
2023-10-01,Class 2,Blue loot,Imports,8221560409853.861
2023-10-01,Class 2,Blue loot,Exports,8294218958701.873
2023-10-01,Class 1,Materials,Imports,1879876557523.3252
2023-10-01,Class 1,Materials,Exports,1984579761870.3125
2023-10-01,Class 1,Gas,Imports,182841385695.856
2023-10-01,Class 1,Gas,Exports,370144310435.0346
2023-10-01,Class 1,Blue loot,Imports,2532419440950.5005
2023-10-01,Class 1,Blue loot,Exports,2563659409346.2607
2023-10-01,Class 3,Gas,Imports,552674958553.9048
2023-10-01,Class 3,Materials,Exports,4578132297216.555
2023-10-01,Class 6,Materials,Imports,956223532557.0474
2023-10-01,Class 4,Blue loot,Exports,9414355857979.965
2023-10-01,Class 6,Gas,Imports,107848170560.7058
2023-10-01,Class 6,Gas,Exports,221806221221.18585
2023-10-01,Class 6,Blue loot,Imports,2651758026401.5674
2023-10-01,Class 6,Blue loot,Exports,8052587510675.378
2023-10-01,Class 3,Materials,Imports,4181725892967.125
2023-10-01,Class 5,Materials,Exports,3255355856911.052
2023-10-01,Class 5,Gas,Imports,314375250447.37604
2023-10-01,Class 5,Materials,Imports,2536435451927.7607
2023-10-01,Class 5,Blue loot,Imports,4402043419124.134
2023-10-01,Class 5,Blue loot,Exports,17600451800182.91
2023-10-01,Class 4,Materials,Imports,2507746160108.218
2023-10-01,Class 4,Materials,Exports,2746063561261.6147
2023-10-01,Class 4,Gas,Imports,751730863578.4045
2023-10-01,Class 4,Gas,Exports,609559794905.3488
2023-10-01,Class 4,Blue loot,Imports,8619927421073.178
2023-10-01,Class 5,Gas,Exports,874002815466.1542
2023-11-01,Class 4,Gas,Exports,702952787567.3173
2023-11-01,Class 4,Gas,Imports,898678253529.803
2023-11-01,Class 4,Materials,Exports,2826509417252.335
2023-11-01,Class 4,Materials,Imports,2725061007695.106
2023-11-01,Class 5,Blue loot,Exports,17468296936579.46
2023-11-01,Class 5,Blue loot,Imports,4163496717902.1055
2023-11-01,Class 6,Gas,Imports,124211703192.7754
2023-11-01,Class 5,Gas,Imports,388988643735.1037
2023-11-01,Class 5,Materials,Exports,3689068252637.176
2023-11-01,Class 5,Materials,Imports,2856535551621.726
2023-11-01,Class 6,Blue loot,Exports,7763159194008.973
2023-11-01,Class 6,Blue loot,Imports,2545561704429.1064
2023-11-01,Class 6,Gas,Exports,242588464049.7191
2023-11-01,Class 4,Blue loot,Imports,8323204144614.254
2023-11-01,Class 5,Gas,Exports,1050411188622.1328
2023-11-01,Class 4,Blue loot,Exports,9261008600741.426
2023-11-01,Class 2,Gas,Imports,1081808724243.7913
2023-11-01,Class 3,Materials,Exports,5205846030500.995
2023-11-01,Class 6,Materials,Exports,1483841653686.9917
2023-11-01,Class 1,Blue loot,Imports,2618716482472.5386
2023-11-01,Class 1,Gas,Exports,450455444964.1254
2023-11-01,Class 1,Gas,Imports,234888279138.8805
2023-11-01,Class 1,Materials,Exports,2196296786030.7432
2023-11-01,Class 1,Materials,Imports,2150797116217.737
2023-11-01,Class 2,Blue loot,Exports,8914593541313.26
2023-11-01,Class 2,Blue loot,Imports,8820868071554.684
2023-11-01,Class 2,Gas,Exports,1059713779570.636
2023-11-01,Class 2,Materials,Exports,6255577979045.838
2023-11-01,Class 2,Materials,Imports,6066387319018.673
2023-11-01,Class 3,Blue loot,Exports,9284625923687.742
2023-11-01,Class 3,Blue loot,Imports,7735981406478.842
2023-11-01,Class 3,Gas,Exports,1232807056356.81
2023-11-01,Class 3,Gas,Imports,620648104822.4835
2023-11-01,Class 3,Materials,Imports,4761845617378.03
2023-11-01,Class 1,Blue loot,Exports,2663804133988.533
2023-11-01,Class 6,Materials,Imports,1019251758654.9624
2023-12-01,Class 6,Gas,Imports,112398490856.07
2023-12-01,Class 3,Blue loot,Imports,8163217182223.568
2023-12-01,Class 3,Blue loot,Exports,9694310654402.527
2023-12-01,Class 2,Materials,Imports,6292651675428.822
2023-12-01,Class 2,Materials,Exports,6821286104962.245
2023-12-01,Class 2,Gas,Imports,1017762991605.9615
2023-12-01,Class 2,Gas,Exports,904864490854.3678
2023-12-01,Class 2,Blue loot,Imports,8488930001141.486
2023-12-01,Class 2,Blue loot,Exports,8738637223423.207
2023-12-01,Class 1,Materials,Imports,2233700920641.9805
2023-12-01,Class 1,Materials,Exports,2488768961316.7
2023-12-01,Class 1,Gas,Imports,234641811800.5784
