history_date,primary_index,sub_index,price_change,total_value,price_change_weighted
2004-03-01,Consumer Price Index,Skills,0.998275,105495409102.3416,-0.000267
2004-03-01,Consumer Price Index,Starbase structures,0.918458,8404003955.0766,-0.001009
2004-03-01,Consumer Price Index,Tech I modules,0.896375,64146060693.137,-0.009787
2004-03-01,Consumer Price Index,Tech I ships,0.978454,366350876208.2188,-0.011622
2004-03-01,Consumer Price Index,Tech II modules,0.776754,16950262126.1018,-0.005571
2004-03-01,Consumer Price Index,Tech II ships,0.873158,1998721549.8232,-0.000373
2004-03-01,Mineral Price Index,High-End Minerals,0.998007,187051619711.5874,-0.00115
2004-03-01,Mineral Price Index,Low-End Minerals,1.069291,136925923594.7896,0.029285
2004-03-01,Primary Producer Price Index,Commodity,0.595735,211658765.1862,-0.005502
2004-03-01,Primary Producer Price Index,Ore,1.027195,12030154774.7247,0.021039
2004-03-01,Primary Producer Price Index,Planetary Processed Materials,0.944964,724946472.5702,-0.002565
2004-03-01,Primary Producer Price Index,Planetary Refined Commodities,0.979444,2112882142.512,-0.002793
2004-03-01,Primary Producer Price Index,Planetary Specialized Commodities,0.956541,470032825.6008,-0.001313
2004-03-01,Secondary Producer Price Index,Blueprints,1.001209,67978371722.0807,0.000307
2004-03-01,Secondary Producer Price Index,Commodity,1.001568,191593588264.8701,0.001122
2004-03-01,Secondary Producer Price Index,Planetary Commodities,0.920784,551122306.6856,-0.000163
2004-03-01,Secondary Producer Price Index,Planetary Refined Commodities,0.992329,3444861467.1401,-9.8e-05
2004-03-01,Secondary Producer Price Index,Planetary Specialized Commodities,0.965386,1016294055.3676,-0.000131
2004-03-01,Secondary Producer Price Index,Tech II construction components,0.863289,3063453331.9938,-0.001564
2004-04-01,Consumer Price Index,Ammo,0.977448,26054526352.2098,-0.000655
2004-04-01,Consumer Price Index,Commodity,1.062217,4183795425.5902,0.00029
2004-04-01,Consumer Price Index,Drones,0.945051,6838178601.4308,-0.000419
2004-04-01,Consumer Price Index,Implants,1.018795,112067121393.626,0.002349
2004-04-01,Consumer Price Index,Skills,1.028748,157987585507.0212,0.005066
2004-04-01,Consumer Price Index,Starbase structures,0.90046,10135826333.0198,-0.001125
2004-04-01,Consumer Price Index,Tech I modules,0.970146,76262099223.0538,-0.002539
2004-04-01,Consumer Price Index,Tech I ships,1.008224,465248242387.853,0.004268
2004-04-01,Consumer Price Index,Tech II modules,0.735631,28322637065.7742,-0.008352
2004-04-01,Consumer Price Index,Tech II ships,0.826473,9326801649.7666,-0.001805
2004-04-01,Mineral Price Index,High-End Minerals,0.973227,204076163688.4143,-0.014923
2004-04-01,Mineral Price Index,Low-End Minerals,0.982934,162051906994.0315,-0.007553
2004-04-01,Primary Producer Price Index,Commodity,1.026853,695184095.4683,0.000212
2004-04-01,Primary Producer Price Index,Ore,0.996037,13603088528.1228,-0.000613
2004-04-01,Primary Producer Price Index,Planetary Processed Materials,1.034648,944905208.3567,0.000372
2004-04-01,Primary Producer Price Index,Planetary Refined Commodities,0.988155,1368623885.1636,-0.000184
2004-04-01,Primary Producer Price Index,Planetary Specialized Commodities,1.036441,71286070923.3456,0.029554
2004-04-01,Secondary Producer Price Index,Blueprints,1.00652,53468687003.566,0.000664
2004-04-01,Secondary Producer Price Index,Commodity,1.001076,460924067287.4702,0.000945
2004-04-01,Secondary Producer Price Index,Planetary Commodities,1.009249,449869007.1336,7e-06
2004-04-01,Secondary Producer Price Index,Planetary Refined Commodities,1.093317,2984402350.6435,0.00053
2004-04-01,Secondary Producer Price Index,Planetary Specialized Commodities,0.957553,917768822.4203,-7.4e-05
2004-04-01,Secondary Producer Price Index,Tech II construction components,0.655087,5743269573.0808,-0.003776
2004-05-01,Consumer Price Index,Ammo,0.969401,31726852437.9638,-0.000825
2004-05-01,Consumer Price Index,Commodity,1.039851,5817061741.9736,0.000197
2004-05-01,Consumer Price Index,Drones,0.967097,7816621046.4634,-0.000218
2004-05-01,Consumer Price Index,Implants,1.76339,211897972740.8922,0.137554
2004-05-01,Consumer Price Index,Skills,1.01256,156038339036.2,0.001666
2004-05-01,Consumer Price Index,Starbase structures,0.96786,14497044900.4612,-0.000396
2004-05-01,Consumer Price Index,Tech I modules,0.974165,93251651635.1486,-0.002048
2004-05-01,Consumer Price Index,Tech I ships,0.97285,591997531604.222,-0.013667
2004-05-01,Consumer Price Index,Tech II modules,0.881368,45380568218.3434,-0.004577
2004-05-01,Consumer Price Index,Tech II ships,1.001994,17552576649.9916,2.9e-05
2004-05-01,Mineral Price Index,High-End Minerals,0.96062,252990925613.0556,-0.023065
2004-05-01,Mineral Price Index,Low-End Minerals,1.007271,178940405926.9532,0.003012
2004-05-01,Primary Producer Price Index,Commodity,1.077802,916785253.735,0.00039
2004-05-01,Primary Producer Price Index,Ore,1.025133,23146867101.5431,0.003183
2004-05-01,Primary Producer Price Index,Planetary Processed Materials,1.016399,1460190823.6279,0.000131
2004-05-01,Primary Producer Price Index,Planetary Refined Commodities,1.037353,1437511178.2513,0.000293
2004-05-01,Primary Producer Price Index,Planetary Specialized Commodities,1.373329,155755141848.3576,0.318241
2004-05-01,Secondary Producer Price Index,Blueprints,1.0058,77892093655.9593,0.001725
2004-05-01,Secondary Producer Price Index,Commodity,1.000248,164827263863.8519,0.000156
2004-05-01,Secondary Producer Price Index,Planetary Commodities,0.991369,594462179.2529,-1.9e-05
2004-05-01,Secondary Producer Price Index,Planetary Refined Commodities,1.219726,3785782717.2656,0.003177
2004-05-01,Secondary Producer Price Index,Planetary Specialized Commodities,0.997814,684519600.3019,-5e-06
2004-05-01,Secondary Producer Price Index,Tech II construction components,1.25627,14016718641.5807,0.01372
2004-06-01,Consumer Price Index,Ammo,0.931155,40416099103.6482,-0.00187
2004-06-01,Consumer Price Index,Commodity,1.094175,4811164394.9336,0.000304
2004-06-01,Consumer Price Index,Drones,0.987224,9644846213.489,-8.2e-05
2004-06-01,Consumer Price Index,Implants,1.173278,156236470432.7586,0.018196
2004-06-01,Consumer Price Index,Skills,1.036904,181100164652.3118,0.004492
2004-06-01,Consumer Price Index,Starbase structures,0.949928,18619176040.0964,-0.000626
2004-06-01,Consumer Price Index,Tech I modules,0.998957,119176847085.9512,-8.3e-05
2004-06-01,Consumer Price Index,Tech I ships,1.028657,853673919225.2422,0.016442
2004-06-01,Consumer Price Index,Tech II modules,1.159958,73901719069.0936,0.007945
2004-06-01,Consumer Price Index,Tech II ships,1.145107,30221958599.5558,0.002947
2004-06-01,Mineral Price Index,High-End Minerals,1.010401,370981447791.5873,0.00654
2004-06-01,Mineral Price Index,Low-End Minerals,1.079788,218974625316.9355,0.029614
2004-06-01,Primary Producer Price Index,Commodity,0.982432,1519619021.6454,-0.000749
2004-06-01,Primary Producer Price Index,Ore,1.072298,30674339041.551,0.062236
2004-06-01,Primary Producer Price Index,Planetary Processed Materials,0.979192,1103408594.541,-0.000644
2004-06-01,Primary Producer Price Index,Planetary Refined Commodities,0.959195,1258158234.3229,-0.00144
2004-06-01,Primary Producer Price Index,Planetary Specialized Commodities,0.912086,1077958877.388,-0.002659
2004-06-01,Secondary Producer Price Index,Blueprints,1.012178,104420390580.5749,0.005103
2004-06-01,Secondary Producer Price Index,Commodity,0.993879,121743258203.858,-0.00299
2004-06-01,Secondary Producer Price Index,Planetary Commodities,0.90544,652210380.4212,-0.000247
2004-06-01,Secondary Producer Price Index,Planetary Refined Commodities,1.606995,5519210011.1417,0.013445
2004-06-01,Secondary Producer Price Index,Planetary Specialized Commodities,1.050556,963577750.788,0.000195
2004-06-01,Secondary Producer Price Index,Tech II construction components,1.372199,15858985822.2697,0.02369
2004-07-01,Consumer Price Index,Ammo,0.791193,40999172606.1398,-0.005075
2004-07-01,Consumer Price Index,Commodity,1.058848,4524029458.1294,0.000157
2004-07-01,Consumer Price Index,Drones,1.075772,11865352980.8144,0.000533
2004-07-01,Consumer Price Index,Implants,1.048775,159374020813.3684,0.004608
2004-07-01,Consumer Price Index,Skills,0.975257,194472671492.6246,-0.002852
2004-07-01,Consumer Price Index,Starbase structures,0.927927,18259316100.9884,-0.00078
2004-07-01,Consumer Price Index,Tech I modules,0.966256,129316823815.218,-0.002587
2004-07-01,Consumer Price Index,Tech I ships,1.053013,983527569121.9427,0.030911
2004-07-01,Consumer Price Index,Tech II modules,1.179654,109425472048.1258,0.011654
2004-07-01,Consumer Price Index,Tech II ships,1.116307,34996212644.6458,0.002413
2004-07-01,Mineral Price Index,High-End Minerals,1.037884,419075331133.1552,0.024661
2004-07-01,Mineral Price Index,Low-End Minerals,1.080096,224697251117.5115,0.027956
2004-07-01,Primary Producer Price Index,Commodity,1.053438,1532883989.2756,0.002233
2004-07-01,Primary Producer Price Index,Ore,1.101368,32029079268.9876,0.088511
2004-07-01,Primary Producer Price Index,Planetary Processed Materials,0.980692,1097736012.3789,-0.000577
2004-07-01,Primary Producer Price Index,Planetary Refined Commodities,0.95055,1061053600.7391,-0.00143
2004-07-01,Primary Producer Price Index,Planetary Specialized Commodities,1.029539,960644281.3946,0.000773
2004-07-01,Secondary Producer Price Index,Blueprints,0.978671,123630435776.2848,-0.00964
2004-07-01,Secondary Producer Price Index,Commodity,0.982487,123853005271.2826,-0.007929
2004-07-01,Secondary Producer Price Index,Planetary Commodities,0.948602,577840462.4817,-0.000108
2004-07-01,Secondary Producer Price Index,Planetary Refined Commodities,0.677634,3668559119.3549,-0.004323
2004-07-01,Secondary Producer Price Index,Planetary Specialized Commodities,0.921392,1424677195.5663,-0.000409
2004-07-01,Secondary Producer Price Index,Tech II construction components,1.222594,20370795948.6914,0.016577
2004-08-01,Consumer Price Index,Ammo,1.018053,59576362762.6752,0.000533
2004-08-01,Consumer Price Index,Commodity,0.919718,5574925092.9156,-0.000221
2004-08-01,Consumer Price Index,Drones,1.013512,15542703272.5016,0.000104
2004-08-01,Consumer Price Index,Faction Ships,1.314417,856999999.9992,0.000133
2004-08-01,Consumer Price Index,Implants,0.999371,190011759618.9224,-5.9e-05
2004-08-01,Consumer Price Index,Skills,1.01742,210170797185.9036,0.001815
2004-08-01,Consumer Price Index,Starbase structures,0.956032,23534770844.594,-0.000513
2004-08-01,Consumer Price Index,Tech I modules,0.975312,152776117645.562,-0.001869
2004-08-01,Consumer Price Index,Tech I ships,1.029614,1156073798374.1106,0.016973
2004-08-01,Consumer Price Index,Tech II modules,0.987374,138658969012.4302,-0.000867
2004-08-01,Consumer Price Index,Tech II ships,1.190802,64251576620.438,0.006077
2004-08-01,Mineral Price Index,High-End Minerals,1.021113,455657891897.7332,0.013419
2004-08-01,Mineral Price Index,Low-End Minerals,1.051678,261225417436.549,0.01883
2004-08-01,Primary Producer Price Index,Commodity,1.043936,1669088402.8198,0.001585
2004-08-01,Primary Producer Price Index,Ore,1.063747,40833759614.2721,0.056262
2004-08-01,Primary Producer Price Index,Planetary Processed Materials,0.998941,1227143793.3067,-2.8e-05
2004-08-01,Primary Producer Price Index,Planetary Refined Commodities,1.017505,1540957936.8949,0.000583
2004-08-01,Primary Producer Price Index,Planetary Specialized Commodities,0.909959,994685180.6823,-0.001935
2004-08-01,Secondary Producer Price Index,Blueprints,1.001042,146476343875.1081,0.000416
2004-08-01,Secondary Producer Price Index,Commodity,1.00204,180204399273.5934,0.001003
2004-08-01,Secondary Producer Price Index,Planetary Commodities,1.00527,702250977.5334,1e-05
2004-08-01,Secondary Producer Price Index,Planetary Refined Commodities,0.750805,4834206090.748,-0.003287
2004-08-01,Secondary Producer Price Index,Planetary Specialized Commodities,0.988517,765692052.9044,-2.3e-05
2004-08-01,Secondary Producer Price Index,Tech II construction components,1.459121,33469311499.8836,0.041933
2004-09-01,Consumer Price Index,Ammo,1.000989,62712615748.6934,2.8e-05
2004-09-01,Consumer Price Index,Boosters,0.990274,3168877.1856,0.0
2004-09-01,Consumer Price Index,Commodity,0.998744,5423588095.784,-3e-06
2004-09-01,Consumer Price Index,Drones,1.069659,17363983926.7998,0.000547
2004-09-01,Consumer Price Index,Faction Ships,1.575262,675000000.0,0.000175
2004-09-01,Consumer Price Index,Implants,0.969002,199977921943.9542,-0.002808
2004-09-01,Consumer Price Index,Skills,1.001884,263303778886.617,0.000224
2004-09-01,Consumer Price Index,Starbase structures,1.035408,23012826640.323,0.000369
2004-09-01,Consumer Price Index,Tech I modules,0.933449,169902074834.5774,-0.005122
2004-09-01,Consumer Price Index,Tech I ships,0.988565,1208910812850.2693,-0.006263
2004-09-01,Consumer Price Index,Tech II modules,0.953312,176556410511.9744,-0.003734
2004-09-01,Consumer Price Index,Tech II ships,1.110874,79385802115.6278,0.003987
2004-09-01,Mineral Price Index,High-End Minerals,0.951882,458363166265.0491,-0.030299
2004-09-01,Mineral Price Index,Low-End Minerals,1.007375,269560316684.8519,0.002731
2004-09-01,Primary Producer Price Index,Commodity,1.019586,2014092646.709,0.000805
2004-09-01,Primary Producer Price Index,Ore,1.010736,43050516700.5085,0.009437
2004-09-01,Primary Producer Price Index,Planetary Processed Materials,1.006158,1329859904.1678,0.000167
2004-09-01,Primary Producer Price Index,Planetary Refined Commodities,0.958905,1656984248.0801,-0.00139
2004-09-01,Primary Producer Price Index,Planetary Specialized Commodities,1.041085,923347207.3901,0.000774
2004-09-01,Secondary Producer Price Index,Blueprints,0.999335,162702536590.1293,-0.000304
2004-09-01,Secondary Producer Price Index,Commodity,0.994967,142819758826.2155,-0.00202
2004-09-01,Secondary Producer Price Index,Planetary Commodities,0.916978,806591826.0776,-0.000188
2004-09-01,Secondary Producer Price Index,Planetary Refined Commodities,1.085233,4903517413.9751,0.001174
2004-09-01,Secondary Producer Price Index,Planetary Specialized Commodities,1.038244,1003708296.0282,0.000107
2004-09-01,Secondary Producer Price Index,Tech II construction components,1.136043,43462290848.4125,0.016622
2004-10-01,Consumer Price Index,Ammo,0.908788,61676731624.0224,-0.002039
2004-10-01,Consumer Price Index,Boosters,1.004693,7561406.2462,0.0
2004-10-01,Consumer Price Index,Commodity,0.964656,390576169070.1592,-0.005004
2004-10-01,Consumer Price Index,Drones,0.930882,15551496727.9036,-0.000389
2004-10-01,Consumer Price Index,Implants,0.832251,229909682168.1516,-0.013981
2004-10-01,Consumer Price Index,Skills,1.009443,294766721178.3746,0.001009
2004-10-01,Consumer Price Index,Starbase structures,0.968569,21441522048.845,-0.000244
2004-10-01,Consumer Price Index,Tech I modules,0.915816,171375593940.8434,-0.00523
2004-10-01,Consumer Price Index,Tech I ships,0.944973,1234684034610.881,-0.024629
2004-10-01,Consumer Price Index,Tech II modules,0.891162,234824539440.067,-0.009265
2004-10-01,Consumer Price Index,Tech II ships,0.8974,103707771229.0644,-0.003857
2004-10-01,Mineral Price Index,High-End Minerals,0.897115,450970669217.5854,-0.065582
2004-10-01,Mineral Price Index,Low-End Minerals,0.97026,256501957635.6743,-0.010782
2004-10-01,Primary Producer Price Index,Commodity,1.133006,3734476640.3739,0.009667
2004-10-01,Primary Producer Price Index,Ore,0.979436,41679022304.3849,-0.016681
2004-10-01,Primary Producer Price Index,Planetary Processed Materials,0.995803,1639509834.1003,-0.000133
2004-10-01,Primary Producer Price Index,Planetary Refined Commodities,1.134591,3293507501.2473,0.008627
2004-10-01,Primary Producer Price Index,Planetary Specialized Commodities,1.054501,1032702905.7836,0.001095
2004-10-01,Secondary Producer Price Index,Blueprints,1.0048,128474127173.1052,0.001792
2004-10-01,Secondary Producer Price Index,Commodity,0.997643,143702900016.8767,-0.000984
2004-10-01,Secondary Producer Price Index,Planetary Commodities,0.923616,663386302.0244,-0.000147
2004-10-01,Secondary Producer Price Index,Planetary Refined Commodities,0.839531,4788969645.878,-0.002233
2004-10-01,Secondary Producer Price Index,Planetary Specialized Commodities,1.041929,1488915025.509,0.000181
2004-10-01,Secondary Producer Price Index,Tech II construction components,0.948321,64947129895.7381,-0.009755
2004-11-01,Consumer Price Index,Ammo,0.802556,60455196962.9714,-0.004224
2004-11-01,Consumer Price Index,Boosters,0.908115,2891211.7696,0.0
2004-11-01,Consumer Price Index,Commodity,0.977768,367180355964.852,-0.002889
2004-11-01,Consumer Price Index,Drones,1.069551,17673984181.6516,0.000435
