history_date,region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
2022-05-01,10000021,Outer Passage,92745040077607.16,42100826169.3417,42101266339488.84,31951697695.9537,468801218938.0,166704220997.96,707969177568.6138,313182744612.02,265621274524.94907,66250090.0,
2022-05-01,10000030,Heimatar,208747949074117.03,283133386271.75354,211217098770046.1,284375814266.4327,230814936834.0,441707394948.29,2881550472256.234,7858604747512.308,289780802713.5366,56584137.0,
2022-05-01,10000020,Tash-Murkon,78699755081070.1,85012759380.8836,67078758111957.62,85641457434.4501,194702212286.0,293998708970.8,753772632012.5073,3314836322470.68,267588884180.85815,41021456.0,
2022-05-01,10000010,Tribute,64302311677137.6,139841227999.2659,59267966697904.055,105532040471.6541,916105869450.0,603253520931.87,4873627953551.289,31573516658.64,528055482058.2522,237417865.0,
2022-05-01,10000016,Lonetrek,427803143537924.6,380849260771.46027,408718172290095.2,380948164315.90424,548519339936.0,1284462087084.02,6758792595246.434,15134845959103.436,510054478553.8012,87322204.0,
2022-05-01,10000015,Venal,32862829620945.07,44885202288.6132,28374034080194.207,46285254172.5047,784722872046.0,635529441416.93,65803202832.1703,167615229716.99002,322940902603.0385,43941246.0,
2022-05-01,10000014,Catch,34212024227989.19,39847475422.2198,32334976234863.445,38909751998.7993,911721888355.0,538461876394.25,453471142847.1333,89972202920.86002,244195149507.7728,53695632.0,
2022-05-01,10000013,Malpais,43344092557458.59,60691535431.6034,34731003382389.77,61046673321.1599,1068981263402.0,200550952360.47,3348746321003.7217,366292703026.94,426032575495.33655,133109512.0,
2022-05-01,10000012,Curse,24274961090925.324,37877035694.3496,25159010387695.348,40068564728.1522,66799581651.0,171841955273.46,48704319336.1227,61093040808.66,44064645653.604,7746864.0,
2022-05-01,10000011,Great Wildlands,44410346213280.914,50058961936.9905,44901086631103.055,53198451612.0578,34259209642.0,229025640783.12,170648209202.25,35775913201.94,112956908583.53952,37308007.0,
2022-05-01,10000009,Insmother,38477895397360.38,45857912320.2483,66923346869524.336,65555853350.931595,962506211195.0,593242234158.89,2558483080276.81,3580905159045.62,390179381947.86456,139168248.0,
2022-05-01,10000008,Scalding Pass,26666955127637.227,37555178586.5831,31141987380948.457,39126164134.9848,268452603735.0,203077976217.82,817602208454.9365,81574582906.22,205651833392.12213,53818856.0,
2022-05-01,10000007,Cache,41238916137317.266,33607593067.956898,41158170909076.02,33573561980.8514,297857122374.0,90238521849.75,91122484239.0559,3520695850.24,104507326621.19034,27178779.0,
2022-05-01,10000006,Wicked Creek,27364204132280.35,27055257280.9477,28124212876353.957,26781760416.0792,388478365341.0,187313940605.78,423107814490.2746,43462618433.09,182427032854.4423,49693146.0,
2022-05-01,10000005,Detorid,32190411057490.49,45194495671.1152,27531631544976.13,39741776809.443695,841502908130.0,342877574834.59,722074911930.6226,730366274.0,240790724955.82303,61611087.0,
2022-05-01,10000003,Vale of the Silent,109796711636092.23,101019064130.2744,83783463298766.5,122141754273.3934,2572237931558.0,1109364512209.88,9173419245196.951,5898418071076.23,1544292286237.9836,376197129.0,
2022-05-01,10000002,The Forge,468406688984413.1,544843970044.2234,629092407738889.8,533564671579.557,453031807536.0,2155782445574.61,19034779720094.58,436104181557248.25,750767127392.3142,139251040.0,
2022-05-01,10000001,Derelik,116813282117601.06,166359114718.217,114527475307091.52,168574267531.0453,129287391021.0,495146226823.38,558306930560.2485,1846403604571.28,453696860495.8377,66134206.0,
2022-05-01,10000018,The Spire,17815458979792.03,19518200123.786697,17242924923091.371,19442082367.829197,326314767105.0,111199213879.14,138619711116.558,1093157431.4,117133332979.30173,23051878.0,
2022-05-01,10000037,Everyshore,50983867645942.26,97797883116.1285,48366427959002.71,94250853924.37167,137031438170.0,241314825989.16,835954429076.0902,2065951642036.54,324637733412.33374,38326571.0,
2022-05-01,10000038,The Bleak Lands,27616587151111.684,24331530992.7793,26363547843348.652,23854367280.2586,28254371463.0,462784762588.89,294027653517.7002,160994189773.41,90549610546.63704,69219504.0,
2022-05-01,10000039,Esoteria,26037461403304.66,53340359346.2077,24549152541734.938,46790827641.0446,771035626879.0,542678722498.29,875065010504.362,742411991521.2501,213619459092.71,59761353.0,
2022-05-01,10000070,Pochven,21676924538981.82,6104184750.2762,27393675547041.496,9249156561.9852,513739253.0,1533201154578.09,19632578044.5895,97883942520.67996,72211658647.5483,127742.0,
2022-05-01,10000068,Verge Vendor,49308077064234.5,67683687512.258,45325494283547.89,66434745415.3537,105157724666.0,151929148336.55,558906742591.2301,1969973049063.2805,118539518343.45572,33809248.0,
2022-05-01,10000067,Genesis,245019072234301.88,307681322240.15027,254677332029574.53,312802246298.8504,243078540855.0,821734414088.69,574276570180.5889,2484341249708.99,214814897947.36395,92492497.0,
2022-05-01,10000066,Perrigen Falls,98464973153859.9,155106508555.9529,167079745504360.78,190917238071.3398,1920910476112.0,764744932049.31,1646415946995.2876,7963131471402.08,404584246962.7785,170663726.0,
2022-05-01,10000065,Kor-Azor,117179412826956.2,105127839812.7399,114179003939134.8,104663750564.9714,144129444411.0,190416452610.63,270659637574.3778,1688713438687.33,212657754951.02957,33627611.0,
2022-05-01,10000064,Essence,341129561350781.9,391178091267.03577,278820261607783.4,393121892477.4621,133310687346.0,739980565381.63,746552688408.2267,4343347431891.7,295831311982.368,78132148.0,
2022-05-01,10000063,Period Basis,18884728136855.2,45155116420.5703,19811845787443.387,46639973688.3373,551619205920.0,137113743677.53,89110016808.2685,6359938473.709999,51173441317.91823,9095039.0,
2022-05-01,10000062,Omist,21487015235283.062,54640920983.10801,13860412318587.848,31003664569.471,35424792801.0,240242428359.52,560985451.9272,46267479485.97,4031620064.306198,0.0,
2022-05-01,10000061,Tenerifis,54229366815964.03,118956806491.9152,50319314957386.586,114649453252.0064,398825393164.0,1048298892278.18,21997767889.5677,176601912503.61,89389970889.34839,10866802.0,
2022-05-01,10000060,Delve,83426451487580.95,121818563064.9634,96529901635548.23,109355992072.32452,1737536538722.0,1152048686594.89,11173876033130.072,12684254325283.67,747134405899.1632,288598579.0,
2022-05-01,10000059,Paragon Soul,15056041513981.326,36143243902.9279,19010767326174.6,42501935509.341095,341910561444.0,92773650505.79,693481369344.7014,36288096647.850006,71361766233.02208,27172163.0,
2022-05-01,10000058,Fountain,28367948740805.41,30954405503.3361,27284807355110.48,24236286272.9514,1276149182903.0,607390788837.74,2471895533446.365,2460971784826.58,384462329877.8451,89384318.0,
2022-05-01,10000057,Outer Ring,8414053046308.612,6020129626.874701,5841555604900.266,6394583388.1042,46189749932.0,83073388367.07,68407834535.3793,186915033943.85995,102321567798.8416,25833546.0,
2022-05-01,10000056,Feythabolis,47430183140803.21,123163128444.5244,61277623528166.68,173879460161.71262,114071675975.0,486422472869.12,16969534966.5344,73241577686.39,43496834080.19066,5108587.0,
2022-05-01,10000055,Branch,8960076184124.174,8618886680.8272,6825049822108.599,7033975065.9627,712648600978.0,275643715977.47,1089522993259.9858,174230993079.33,357731393627.4982,61409487.0,
2022-05-01,10000069,Black Rise,46016478558955.74,51656923643.1875,44384594110327.77,50174791540.999,82631631204.0,423859312344.58,634432062944.3683,304926833952.17,137914226769.61426,17496962.0,
2022-05-01,10000053,Cobalt Edge,29361557801640.535,16499153836.577702,28794068118061.31,16554776315.1627,354262947358.0,150234341284.37,385945669553.7844,27257560281.97,185581068898.95825,63660703.0,
2022-05-01,10000054,Aridia,35244953290291.56,19453244721.5975,24009565306411.0,20008530598.8859,98569687450.0,306177981605.02,164347892762.4364,1560650794824.7,394015164423.9509,17061460.0,
2022-05-01,10000041,Syndicate,28946682123355.37,21630584631.1241,31486424823030.098,20719187386.715603,134549039733.0,258274887527.76,538135931075.1267,575390666619.54,118330415615.96912,30950989.0,
2022-05-01,10000042,Metropolis,301875355986920.5,349241240378.8487,269222924239097.12,346643606703.11285,922886303271.0,1060659672067.77,1131857707394.4363,9550813206801.17,602145685236.5367,116769037.0,
2022-05-01,10000043,Domain,210972571707050.12,236182206735.45547,209531145800533.1,236355434026.2593,356558924835.0,742149166805.42,2937004612994.922,42579075208918.055,580761642511.1549,190988674.0,
2022-05-01,10000044,Solitude,24146787723876.375,21183859656.2647,23175777487038.5,20811929715.5905,42038977203.0,152993166856.31,129114656292.8343,243062076224.13995,171824998965.1799,5775106.0,
2022-05-01,10000045,Tenal,5477575143325.021,5611242788.0607,6685628161081.122,6744742882.4892,522696596725.0,153743395628.9,18303670673.5494,37079896451.6,137478364616.28976,27677884.0,
2022-05-01,10000040,Oasa,55367978814877.46,54152090692.1065,27002278542209.895,33679321033.246506,455340435416.0,134055312141.69,566371765057.2518,53773298432.31001,149156035759.19662,35470091.0,
2022-05-01,10000047,Providence,18155657024831.723,29791865667.9496,23983515111955.69,31397892394.1256,512526154282.0,299986874496.99,1788879769391.809,110972350568.95998,193543612624.28308,66506487.0,
2022-05-01,10000048,Placid,75130292462163.73,61506663357.1283,71453206767941.75,59937607152.985,71053212823.0,635474915890.01,1920755916160.1848,1058628915334.07,203391063737.34268,57675823.0,
2022-05-01,10000049,Khanid,100455154354288.95,77501754796.9727,80960372882940.22,71474116522.92601,80263667137.0,161417199345.31,211312397299.1131,840325200184.04,237467773803.36526,102792040.0,
2022-05-01,10000050,Querious,88798537110672.1,109675578714.4686,79755567960307.94,91869708628.4578,1014641091399.0,427545211047.97,819802697761.2668,35224076285.54,316014341775.97345,95551322.0,
2022-05-01,10000051,Cloud Ring,16838362599607.916,10056239306.373,20372593898565.98,11388193582.322,111296737838.0,234271834774.42,310755103651.4497,13189432156.309998,125919851075.45676,14481648.0,
2022-05-01,10000052,Kador,91175490107803.34,81093331287.361,91338914453239.31,80015049279.3385,234519667822.0,308477870744.06,673275212238.784,1341280344901.09,357440367025.0404,122080022.0,
2022-05-01,10000046,Fade,29350531466699.902,34943399994.730705,37914320876858.77,38306116505.3617,421816033704.0,341848634353.17,4587032474003.301,383762783876.1501,57535613694.50491,13239621.0,
2022-06-01,10000052,Kador,75607430827639.11,65688082025.3076,74040236326232.75,65556619897.5282,183370864128.0,151799610905.59,680455143024.0314,1261691928601.5002,265975996969.2367,90609362.0,
2022-06-01,10000051,Cloud Ring,16722272331817.57,12488296620.2302,20155843031366.938,12965261461.337,132504336394.0,271110363061.14,343418515463.5003,24909581900.640003,139012189254.1027,6258277.0,
2022-06-01,10000050,Querious,149257805551050.84,276593909543.43,149341675373413.97,273853876838.3247,1062422940161.0,445421437432.09,497302197332.9783,41064587676.34,244774562052.77713,81752833.0,
2022-06-01,10000049,Khanid,89387238099014.77,76266835921.3045,78895197825699.75,74757627238.0635,31541460968.0,202211861791.88,113727507297.4504,541366762065.89014,250980076260.43497,65794311.0,
2022-06-01,10000048,Placid,50880833352156.555,57369652474.7876,50097817044610.79,59419497890.6404,48228085608.0,388795333564.73,1617642965389.2644,781156281052.1702,270399337097.8036,49021010.0,
2022-06-01,10000045,Tenal,5125294454424.514,3704423963.6136,5022843519179.867,4409322441.7104,322864327746.0,100168584719.7,63233961185.1147,5708158101.0,237619289322.0985,40938327.0,
2022-06-01,10000046,Fade,23303026188142.637,21800980427.848,27205236224969.92,23973676507.870697,255211246211.0,386616464619.87,4151296189350.1006,354016367517.79004,54434610626.42943,10971468.0,
